runID,random,runNumber,msgOutLevel,worldx,worldy,centerx,centery,buyer,seller,maxBiddingTries,unitTransportCost,neighborhoodSize,budget,sdbudget,search,bid,agr,util,sdp,range,steps,luFile,tpFile,lufile2,tpFile2,agents
1,51,1,0,61,61,31,31,400,3721,2,1,2,160,0,4000,1,0,0.5,0,0.75,2,lu_s_2011_11_23_11_12_52_532_2_1.asc,tprice_2011_11_23_11_12_52_648_2_1.asc,lu_s_2011_11_23_11_12_52_591_2_1.asc,tprice_2011_11_23_11_12_52_689_2_1.asc,trans_2011_11_23_11_12_43_579.csv
2,51,1,0,61,61,31,31,400,3721,2,1,2,160,0,4000,1,0,0.5,0.1,0.75,2,lu_s_2011_11_23_11_13_00_070_2_1.asc,tprice_2011_11_23_11_13_00_108_2_1.asc,lu_s_2011_11_23_11_13_00_105_2_1.asc,tprice_2011_11_23_11_13_00_116_2_1.asc,trans_2011_11_23_11_12_53_138.csv
3,51,1,0,61,61,31,31,400,3721,2,1,2,160,0,4000,1,0,0.5,0.2,0.75,2,lu_s_2011_11_23_11_13_07_084_2_1.asc,tprice_2011_11_23_11_13_07_119_2_1.asc,lu_s_2011_11_23_11_13_07_116_2_1.asc,tprice_2011_11_23_11_13_07_125_2_1.asc,trans_2011_11_23_11_13_00_126.csv
4,51,1,0,61,61,31,31,400,3721,2,1,2,160,0,4000,1,0,0.5,0.3,0.75,2,lu_s_2011_11_23_11_13_13_158_2_1.asc,tprice_2011_11_23_11_13_13_194_2_1.asc,lu_s_2011_11_23_11_13_13_188_2_1.asc,tprice_2011_11_23_11_13_13_199_2_1.asc,trans_2011_11_23_11_13_07_134.csv
5,51,1,0,61,61,31,31,400,3721,2,1,2,160,0,4000,1,0,0.5,0.4,0.75,2,lu_s_2011_11_23_11_13_19_617_2_1.asc,tprice_2011_11_23_11_13_19_673_2_1.asc,lu_s_2011_11_23_11_13_19_656_2_1.asc,tprice_2011_11_23_11_13_19_690_2_1.asc,trans_2011_11_23_11_13_13_220.csv
6,51,1,0,61,61,31,31,400,3721,2,1,2,160,0,4000,1,0,0.5,0.5,0.75,2,lu_s_2011_11_23_11_13_26_139_2_1.asc,tprice_2011_11_23_11_13_26_174_2_1.asc,lu_s_2011_11_23_11_13_26_171_2_1.asc,tprice_2011_11_23_11_13_26_178_2_1.asc,trans_2011_11_23_11_13_19_712.csv
7,51,1,0,61,61,31,31,400,3721,2,1,2,160,10,4000,1,0,0.5,0,0.75,2,lu_s_2011_11_23_11_13_32_514_2_1.asc,tprice_2011_11_23_11_13_32_545_2_1.asc,lu_s_2011_11_23_11_13_32_542_2_1.asc,tprice_2011_11_23_11_13_32_549_2_1.asc,trans_2011_11_23_11_13_26_190.csv
8,51,1,0,61,61,31,31,400,3721,2,1,2,160,10,4000,1,0,0.5,0.1,0.75,2,lu_s_2011_11_23_11_13_39_520_2_1.asc,tprice_2011_11_23_11_13_39_568_2_1.asc,lu_s_2011_11_23_11_13_39_558_2_1.asc,tprice_2011_11_23_11_13_39_572_2_1.asc,trans_2011_11_23_11_13_32_562.csv
9,51,1,0,61,61,31,31,400,3721,2,1,2,160,10,4000,1,0,0.5,0.2,0.75,2,lu_s_2011_11_23_11_13_47_067_2_1.asc,tprice_2011_11_23_11_13_47_145_2_1.asc,lu_s_2011_11_23_11_13_47_142_2_1.asc,tprice_2011_11_23_11_13_47_148_2_1.asc,trans_2011_11_23_11_13_39_587.csv
10,51,1,0,61,61,31,31,400,3721,2,1,2,160,10,4000,1,0,0.5,0.3,0.75,2,lu_s_2011_11_23_11_13_53_596_2_1.asc,tprice_2011_11_23_11_13_53_638_2_1.asc,lu_s_2011_11_23_11_13_53_634_2_1.asc,tprice_2011_11_23_11_13_53_642_2_1.asc,trans_2011_11_23_11_13_47_169.csv
11,51,1,0,61,61,31,31,400,3721,2,1,2,160,10,4000,1,0,0.5,0.4,0.75,2,lu_s_2011_11_23_11_13_59_942_2_1.asc,tprice_2011_11_23_11_14_00_209_2_1.asc,lu_s_2011_11_23_11_14_00_206_2_1.asc,tprice_2011_11_23_11_14_00_213_2_1.asc,trans_2011_11_23_11_13_53_654.csv
12,51,1,0,61,61,31,31,400,3721,2,1,2,160,10,4000,1,0,0.5,0.5,0.75,2,lu_s_2011_11_23_11_14_08_621_2_1.asc,tprice_2011_11_23_11_14_08_652_2_1.asc,lu_s_2011_11_23_11_14_08_645_2_1.asc,tprice_2011_11_23_11_14_08_657_2_1.asc,trans_2011_11_23_11_14_00_224.csv
13,51,1,0,61,61,31,31,400,3721,2,1,2,160,20,4000,1,0,0.5,0,0.75,2,lu_s_2011_11_23_11_14_16_236_2_1.asc,tprice_2011_11_23_11_14_16_255_2_1.asc,lu_s_2011_11_23_11_14_16_252_2_1.asc,tprice_2011_11_23_11_14_16_258_2_1.asc,trans_2011_11_23_11_14_08_668.csv
14,51,1,0,61,61,31,31,400,3721,2,1,2,160,20,4000,1,0,0.5,0.1,0.75,2,lu_s_2011_11_23_11_14_22_223_2_1.asc,tprice_2011_11_23_11_14_22_259_2_1.asc,lu_s_2011_11_23_11_14_22_256_2_1.asc,tprice_2011_11_23_11_14_22_262_2_1.asc,trans_2011_11_23_11_14_16_273.csv
15,51,1,0,61,61,31,31,400,3721,2,1,2,160,20,4000,1,0,0.5,0.2,0.75,2,lu_s_2011_11_23_11_14_28_717_2_1.asc,tprice_2011_11_23_11_14_28_879_2_1.asc,lu_s_2011_11_23_11_14_28_828_2_1.asc,tprice_2011_11_23_11_14_28_883_2_1.asc,trans_2011_11_23_11_14_22_277.csv
16,51,1,0,61,61,31,31,400,3721,2,1,2,160,20,4000,1,0,0.5,0.3,0.75,2,lu_s_2011_11_23_11_14_36_033_2_1.asc,tprice_2011_11_23_11_14_36_058_2_1.asc,lu_s_2011_11_23_11_14_36_055_2_1.asc,tprice_2011_11_23_11_14_36_062_2_1.asc,trans_2011_11_23_11_14_28_896.csv
17,51,1,0,61,61,31,31,400,3721,2,1,2,160,20,4000,1,0,0.5,0.4,0.75,2,lu_s_2011_11_23_11_14_43_183_2_1.asc,tprice_2011_11_23_11_14_43_188_2_1.asc,lu_s_2011_11_23_11_14_43_185_2_1.asc,tprice_2011_11_23_11_14_43_191_2_1.asc,trans_2011_11_23_11_14_36_078.csv
18,51,1,0,61,61,31,31,400,3721,2,1,2,160,20,4000,1,0,0.5,0.5,0.75,2,lu_s_2011_11_23_11_14_50_196_2_1.asc,tprice_2011_11_23_11_14_50_202_2_1.asc,lu_s_2011_11_23_11_14_50_200_2_1.asc,tprice_2011_11_23_11_14_50_205_2_1.asc,trans_2011_11_23_11_14_43_222.csv
19,51,1,0,61,61,31,31,400,3721,2,1,2,160,30,4000,1,0,0.5,0,0.75,2,lu_s_2011_11_23_11_14_56_916_2_1.asc,tprice_2011_11_23_11_14_56_920_2_1.asc,lu_s_2011_11_23_11_14_56_918_2_1.asc,tprice_2011_11_23_11_14_56_954_2_1.asc,trans_2011_11_23_11_14_50_214.csv
20,51,1,0,61,61,31,31,400,3721,2,1,2,160,30,4000,1,0,0.5,0.1,0.75,2,lu_s_2011_11_23_11_15_03_415_2_1.asc,tprice_2011_11_23_11_15_03_421_2_1.asc,lu_s_2011_11_23_11_15_03_418_2_1.asc,tprice_2011_11_23_11_15_03_424_2_1.asc,trans_2011_11_23_11_14_56_963.csv
21,51,1,0,61,61,31,31,400,3721,2,1,2,160,30,4000,1,0,0.5,0.2,0.75,2,lu_s_2011_11_23_11_15_10_365_2_1.asc,tprice_2011_11_23_11_15_10_373_2_1.asc,lu_s_2011_11_23_11_15_10_370_2_1.asc,tprice_2011_11_23_11_15_10_377_2_1.asc,trans_2011_11_23_11_15_03_444.csv
22,51,1,0,61,61,31,31,400,3721,2,1,2,160,30,4000,1,0,0.5,0.3,0.75,2,lu_s_2011_11_23_11_15_17_205_2_1.asc,tprice_2011_11_23_11_15_17_210_2_1.asc,lu_s_2011_11_23_11_15_17_207_2_1.asc,tprice_2011_11_23_11_15_17_212_2_1.asc,trans_2011_11_23_11_15_10_396.csv
23,51,1,0,61,61,31,31,400,3721,2,1,2,160,30,4000,1,0,0.5,0.4,0.75,2,lu_s_2011_11_23_11_15_23_211_2_1.asc,tprice_2011_11_23_11_15_23_215_2_1.asc,lu_s_2011_11_23_11_15_23_213_2_1.asc,tprice_2011_11_23_11_15_23_217_2_1.asc,trans_2011_11_23_11_15_17_227.csv
24,51,1,0,61,61,31,31,400,3721,2,1,2,160,30,4000,1,0,0.5,0.5,0.75,2,lu_s_2011_11_23_11_15_30_110_2_1.asc,tprice_2011_11_23_11_15_30_128_2_1.asc,lu_s_2011_11_23_11_15_30_124_2_1.asc,tprice_2011_11_23_11_15_30_132_2_1.asc,trans_2011_11_23_11_15_23_227.csv
25,51,1,0,61,61,31,31,400,3721,2,1,2,160,40,4000,1,0,0.5,0,0.75,2,lu_s_2011_11_23_11_15_36_365_2_1.asc,tprice_2011_11_23_11_15_36_369_2_1.asc,lu_s_2011_11_23_11_15_36_367_2_1.asc,tprice_2011_11_23_11_15_36_372_2_1.asc,trans_2011_11_23_11_15_30_144.csv
