d,s,time,intercept,bathrooms,bathrooms.2,age,age.2,SQFT,SQFT.2,lotsize,lotsize.2,newhome,postFirm,FP100,FP500,coastalFront,log.distAmen.,log.distCBD.,log.distHwy.,log.distPark.,town1M,town15B,R2,regCode,i
0,1,0,11.337,0.108,-0.011,-0.01,9.4e-05,0.001,-0.00011,0.03,0.00019,-0.059,-0.022,-0.078,-0.062,0.314,-0.106,-0.00038,0.005,-0.001,-0.478,0,0,0,0
0,1,1,11.404613,0.105135,-0.009672,-0.009496,9.1e-05,0.000995,0,0.032528,8.5e-05,-0.058438,-0.012873,-0.07839,-0.061645,0.324547,-0.104314,-0.008693,0.004473,0.000748,0,0,0.999349,0,0
0,1,2,11.415377,0.102773,-0.010324,-0.009502,9.1e-05,0.001006,0,0.032533,0.000115,-0.061951,-0.008369,-0.076232,-0.061837,0.323624,-0.104832,-0.011985,0.004272,0.004111,0,0,0.998191,1,1
0,1,3,11.517708,0.132461,-0.014902,-0.008769,8.3e-05,0.001015,0,0.03932,-0.000133,-0.068027,-0.007526,-0.082687,-0.066674,0.329951,-0.10624,-0.021031,0.001583,0.001873,0,0,0.996472,1,1
0,1,4,11.600923,0.087874,-0.002671,-0.008227,7.8e-05,0.00103,0,0.045012,-0.000405,-0.072863,0.002165,-0.075681,-0.073145,0.350748,-0.103201,-0.051345,0.001487,0.024422,0,0,0.995011,1,1
0,1,5,11.592883,0.096082,-0.004205,-0.007424,6.9e-05,0.001085,0,0.049675,-0.000587,-0.080495,0.001917,-0.064468,-0.077105,0.358356,-0.103138,-0.059213,0.002772,0.027542,0,0,0.993275,1,1
0,1,6,11.757567,0.11721,-0.012076,-0.007266,6.5e-05,0.001142,0,0.055576,-0.000655,-0.079008,0.000387,-0.063818,-0.076652,0.373786,-0.115559,-0.088352,0.003596,0.045879,0,0,0.990493,1,1
0,1,7,11.97085,0.125441,-0.01719,-0.009339,8.1e-05,0.001133,0,0.057601,-0.00075,-0.086971,-0.020175,-0.063387,-0.079003,0.407509,-0.113024,-0.109002,0.002477,0.052855,0,0,0.989059,1,1
0,1,8,12.149194,0.121975,-0.011029,-0.009494,8.4e-05,0.001168,0,0.066497,-0.000948,-0.102001,-0.02411,-0.057858,-0.07393,0.412722,-0.121149,-0.121821,-0.004964,0.058421,0,0,0.988876,1,1
0,1,9,12.217222,0.137008,-0.016222,-0.009672,8.6e-05,0.001214,0,0.071207,-0.001089,-0.101288,-0.030334,-0.056047,-0.079278,0.413433,-0.124402,-0.131811,-0.009006,0.065381,0,0,0.985416,1,1
