nBC,Ins,RH,s,t,avPriceFP0,avPriceFP100,avPriceFP500,avPriceCoastFront,nB,nS,nNC,nOS,nOB,nBL,nT,dBS
0.7,0,1,0,0,239169.9713467,266217.58474576,193210.69711538,461214.67391304,0,0,0,0,0,0,0,0
0.7,0,1,0,1,239260.22922636,266429.44915254,193404.20673077,461623.36956522,800,813,273,83,444,0,242,-13
0.7,0,1,0,2,243670.25787966,272110.06355932,197851.5625,471619.83695652,879,935,247,73,559,0,241,-56
0.7,0,1,0,3,244389.03381089,273746.66525424,198755.25961538,474112.22826087,919,1025,224,79,616,0,263,-106
0.7,0,1,0,4,246165.15071633,274454.63135593,199953.20673077,477044.64130435,925,1168,253,71,678,77,241,-243
0.7,0,1,0,5,245153.40974212,273760.45762712,199467.35576923,473010.16304348,974,1012,255,86,668,35,257,-38
0.7,0,1,0,6,241287.29398281,270294.28813559,196585.32692308,464469.26086957,1026,973,268,70,741,53,233,53
0.7,0,1,0,7,236052.78166189,265305.18220339,193290.65384615,453543.38043478,1054,961,238,64,799,47,227,93
0.7,0,1,0,8,236193.14154728,265128.02542373,193890.59134615,453425.68478261,1111,968,253,66,824,32,230,143
0.7,0,1,0,9,232887.74097421,260994.52542373,191370.9375,447030.51086957,1171,953,260,63,879,31,232,218
0.7,0,1,0,10,229628.6487106,257057.11864407,189164.02884615,439524.67391304,1217,989,239,72,937,31,234,228
0.7,0,1,0,11,225583.69283668,251290.59745763,186212.375,430421.42391304,1274,991,271,75,965,37,252,283
0.7,0,1,0,12,223144.07106017,248334.84745763,183816.90384615,424623.85869565,1318,956,257,61,1037,37,237,362
0.7,0,1,0,13,219027.78452722,243897.30508475,180001.58653846,416188.23913043,1373,960,258,73,1075,33,243,413
0.7,0,1,0,14,217144.26131805,242778.87711864,179689.79807692,416585.47826087,1459,991,260,77,1140,18,233,468
0.7,0,1,0,15,213001.03151862,237035.86440678,177328.125,407029.5326087,1493,973,246,73,1201,27,258,520
0.7,0,1,0,16,210118.58796562,233857.02542373,174588.51442308,401033.48913043,1546,1009,244,69,1252,19,241,537
0.7,0,1,0,17,206842.53295129,230714.3559322,172323.36057692,394387.14130435,1611,1017,237,86,1307,19,239,594
0.7,0,1,0,18,206591.83495702,229588.12288136,171085.6875,392956.76086957,1680,1012,248,84,1371,23,240,668
0.7,0,1,0,19,203398.20744986,226509.58474576,169751.125,384717.31521739,1719,1001,244,69,1426,20,254,718
0.7,0,1,0,20,200356.92378223,222087.81779661,167795.55288462,376530.98913043,1772,984,236,69,1483,16,236,788
0.7,0,1,0,21,199603.06475645,220074.95762712,166069.74038462,372704.95652174,1830,961,248,73,1526,17,246,869
0.7,0,1,0,22,196857.16446991,214857.25423729,164037.67307692,365142.27173913,1891,976,255,82,1576,22,254,915
0.7,0,1,0,23,193314.88137536,210997.35169492,161926.65384615,355756.75,1905,1001,234,63,1637,29,254,904
0.7,0,1,0,24,191698.63151862,209053.19491525,160988.98076923,352258.33695652,1973,999,250,85,1656,18,249,974
0.7,0,1,0,25,189748.97879656,206421.96610169,159309.95673077,348403.14130435,2034,1023,248,75,1732,21,241,1011
0.7,0,1,0,26,188077.6504298,204517.65677966,158150.26923077,345854.69565217,2087,1027,251,79,1773,16,261,1060
0.7,0,1,0,27,185821.73065903,202056.03813559,156821.90865385,339061.22826087,2144,1028,234,82,1838,10,249,1116
0.7,0,1,0,28,184100.02292264,200389.50423729,155543.45192308,336027.52173913,2210,1015,246,77,1901,14,243,1195
0.7,0,1,0,29,182944.39197708,199348.70338983,154627.46153846,335436.69565217,2280,1001,255,79,1962,16,248,1279
0.7,0,1,0,30,181030.2234957,197308.22881356,153490.27884615,331050.95652174,2330,1018,234,75,2031,10,249,1312
0.7,0,1,0,31,178084.13524355,194518.44491525,151269.50961538,324797.98913043,2398,1014,261,71,2081,15,249,1384
0.7,0,1,0,32,176193.58395415,193068.49576271,148646.65384615,320937.75,2449,1010,241,83,2137,12,261,1439
0.7,0,1,0,33,174756.94212034,191678.61864407,147483.36538462,319039.13043478,2505,972,242,78,2193,8,256,1533
0.7,0,1,0,34,173192.37363897,189889.13135593,145691.55288462,315716.2826087,2548,970,234,80,2248,14,257,1578
0.7,0,1,0,35,171530.33123209,187776.72881356,143527.64423077,313103.34782609,2607,987,248,71,2295,7,253,1620
0.7,0,1,0,36,169229.38452722,185225.84745763,141784.69711538,309549.35869565,2689,1004,260,70,2369,10,238,1685
0.7,0,1,0,37,168946.73237822,183963.02118644,142114.38942308,310630.76086957,2765,1020,249,71,2453,8,236,1745
0.7,0,1,0,38,167119.01891117,181716.65254237,140874.35096154,307981.22826087,2801,1011,239,82,2499,19,266,1790
0.7,0,1,0,39,165773.90716332,179253.96186441,139562.27884615,305505.61956522,2839,1025,242,72,2542,17,259,1814
0.7,0,1,0,40,163572.53868195,176315.38135593,138015.60096154,301624.17391304,2902,1054,253,79,2604,34,235,1848
0.7,0,1,0,41,161725.7260745,173595.96186441,136736.48557692,299433,2953,1039,253,81,2649,30,253,1914
0.7,0,1,0,42,160585.63896848,172561.97881356,135903.10096154,298811.98913043,2999,999,252,72,2686,11,267,2000
0.7,0,1,0,43,158966.96618911,170177.93220339,134611.125,296364.90217391,3046,1019,239,75,2745,13,254,2027
0.7,0,1,0,44,157794.62234957,169169.65254237,133012.09134615,294426.89130435,3069,986,230,71,2794,26,252,2083
0.7,0,1,0,45,156919.16103152,168801.83474576,132654.09615385,293199.57608696,3161,982,281,69,2819,8,250,2179
0.7,0,1,0,46,155434.31747851,166943.13559322,130914.02884615,290426.60869565,3183,972,241,64,2913,35,248,2211
